id_transaction,id_compte,montant,type_transaction,canal,devise,date_transaction,statut,description
1,1,9956.53,versement,virementauto,mad,2017-11-26,refusee,Depot d'argent liquide sur un compte bancaire.
2,2,39662.46,retrait,enligne,mad,2022-04-09,validee,Retrait d'especes depuis un distributeur ou au guichet.
3,3,16516.15,frais,guichet,mad,2020-05-27,validee,Operation bancaire realisee sur le compte.
4,4,43891.96,versement,guichet,mad,2017-12-24,validee,Depot d'argent liquide sur un compte bancaire.
5,5,12689.41,virement,distributeur,mad,2024-11-14,refusee,Transfert de fonds entre comptes bancaires.
6,6,34615.98,virement,distributeur,eur,2022-12-05,validee,Transfert de fonds entre comptes bancaires.
7,7,21882.6,virement,enligne,eur,2024-02-21,refusee,Transfert de fonds entre comptes bancaires.
8,8,30501.96,paiement,enligne,usd,2024-03-10,validee,Paiement effectue par carte ou moyen numerique.
9,9,8686.3,paiement,enligne,mad,2024-08-20,validee,Paiement effectue par carte ou moyen numerique.
10,10,47078.69,versement,enligne,usd,2017-11-26,refusee,Depot d'argent liquide sur un compte bancaire.
11,11,27810.87,paiement,distributeur,mad,2021-11-01,validee,Paiement effectue par carte ou moyen numerique.
12,12,1461.88,paiement,enligne,mad,2025-01-27,validee,Paiement effectue par carte ou moyen numerique.
13,13,27013.79,virement,guichet,usd,2019-10-17,refusee,Transfert de fonds entre comptes bancaires.
14,14,39860.19,retrait,guichet,eur,2020-10-30,refusee,Retrait d'especes depuis un distributeur ou au guichet.
15,15,8160.58,versement,enligne,eur,2024-11-23,validee,Depot d'argent liquide sur un compte bancaire.
16,16,44055.19,retrait,distributeur,usd,2023-01-27,enattente,Retrait d'especes depuis un distributeur ou au guichet.
17,17,45815.43,paiement,virementauto,eur,2020-02-03,refusee,Paiement effectue par carte ou moyen numerique.
18,18,38811.63,retrait,distributeur,usd,2023-06-16,refusee,Retrait d'especes depuis un distributeur ou au guichet.
19,19,34552.28,paiement,applicationmobile,eur,2022-03-01,validee,Paiement effectue par carte ou moyen numerique.
20,20,31118.71,frais,enligne,eur,2023-12-16,validee,Operation bancaire realisee sur le compte.
21,21,19322.0,frais,enligne,usd,2020-04-17,enattente,Operation bancaire realisee sur le compte.
22,22,7712.77,virement,enligne,eur,2025-02-18,refusee,Transfert de fonds entre comptes bancaires.
23,23,43611.77,retrait,enligne,mad,2022-10-11,enattente,Retrait d'especes depuis un distributeur ou au guichet.
24,24,29943.87,frais,applicationmobile,eur,2025-04-21,enattente,Operation bancaire realisee sur le compte.
25,25,37914.89,paiement,applicationmobile,usd,2019-07-22,refusee,Paiement effectue par carte ou moyen numerique.
26,26,36977.48,versement,distributeur,mad,2021-03-24,refusee,Depot d'argent liquide sur un compte bancaire.
27,27,9389.45,frais,guichet,mad,2023-12-25,validee,Operation bancaire realisee sur le compte.
28,28,6508.24,retrait,guichet,mad,2022-04-06,refusee,Retrait d'especes depuis un distributeur ou au guichet.
29,29,22899.9,frais,guichet,mad,2020-04-07,refusee,Operation bancaire realisee sur le compte.
30,30,17339.31,frais,distributeur,usd,2023-04-16,refusee,Operation bancaire realisee sur le compte.
31,31,2509.33,retrait,distributeur,mad,2022-02-09,enattente,Retrait d'especes depuis un distributeur ou au guichet.
32,32,14574.49,retrait,enligne,usd,2024-04-23,validee,Retrait d'especes depuis un distributeur ou au guichet.
33,33,17632.56,frais,virementauto,usd,2020-11-07,enattente,Operation bancaire realisee sur le compte.
34,34,34725.3,versement,virementauto,eur,2023-08-06,refusee,Depot d'argent liquide sur un compte bancaire.
35,35,44288.62,retrait,distributeur,mad,2023-10-27,validee,Retrait d'especes depuis un distributeur ou au guichet.
36,36,8783.39,virement,distributeur,usd,2022-05-11,enattente,Transfert de fonds entre comptes bancaires.
37,37,12496.17,frais,distributeur,mad,2022-08-02,validee,Operation bancaire realisee sur le compte.
38,38,1082.99,paiement,enligne,mad,2021-02-26,validee,Paiement effectue par carte ou moyen numerique.
39,39,18790.27,virement,applicationmobile,usd,2020-04-14,enattente,Transfert de fonds entre comptes bancaires.
40,40,29559.22,virement,enligne,mad,2022-09-14,refusee,Transfert de fonds entre comptes bancaires.
41,41,36799.67,frais,enligne,mad,2024-07-09,enattente,Operation bancaire realisee sur le compte.
42,42,14728.44,virement,guichet,eur,2020-03-18,refusee,Transfert de fonds entre comptes bancaires.
43,43,42032.49,virement,virementauto,usd,2023-12-23,refusee,Transfert de fonds entre comptes bancaires.
