nom,avis
Mouna Alaoui,Attente trop longue au téléphone.
Mouna Ouzzani,Service rapide et efficace.
Siham Touil,"Bonne expérience, je recommande."
Bouchra Hariri,Problème non résolu depuis une semaine.
Saad Alaoui,Merci pour la réactivité.
Karim Elkhatib,Très satisfait du conseiller.
Ayoub Baroudi,Carte bloquée sans explication.
Nadia Bensaid,Merci pour la réactivité.
Othmane Elkhatib,Service rapide et efficace.
Ilham Fadili,Carte bloquée sans explication.
Soukaina Fassi,"Bonne expérience, je recommande."
Rim Elalami,Attente trop longue au téléphone.
Malak Rguig,Problème non résolu depuis une semaine.
Mouna Hariri,Service client difficile à joindre.
Adil Fadili,Carte bloquée sans explication.
Hiba Jebari,Attente trop longue au téléphone.
Amina Amrani,Merci pour la réactivité.
Houda Rguig,"Bonne expérience, je recommande."
Nour Boukhriss,Service rapide et efficace.
Yassine Rguig,"Bonne expérience, je recommande."
Zineb Chouaib,Service rapide et efficace.
Omar Chouaib,Très satisfait du conseiller.
Adil Chraibi,Très satisfait du conseiller.
Ibrahim Elmansouri,Carte bloquée sans explication.
Rachid Maaroufi,Carte bloquée sans explication.
Houda Maaroufi,Service client difficile à joindre.
Ikram Bensaid,"Bonne expérience, je recommande."
Samira Touil,Service client difficile à joindre.
Karim Elmansouri,Service rapide et efficace.
Ikram Rguig,Très satisfait du conseiller.
Tarik Chraibi,Merci pour la réactivité.
Hassan Baroudi,Service rapide et efficace.
Karim Amrani,Problème non résolu depuis une semaine.
Nour Baroudi,Service rapide et efficace.
Omar Maaroufi,Problème non résolu depuis une semaine.
Bouchra Bensaid,Service rapide et efficace.
Zineb Fadili,Service client difficile à joindre.
Tarik Rguig,Problème non résolu depuis une semaine.
Rachid Boukhriss,"Bonne expérience, je recommande."
Mehdi Tahiri,Service rapide et efficace.
Abdelhak Ouzzani,Merci pour la réactivité.
Rachid Alaoui,Carte bloquée sans explication.
Abdelaziz Elidrissi,Service client difficile à joindre.
Hiba Elalami,Service client difficile à joindre.
Zakaria Tahiri,Très satisfait du conseiller.
Othmane Elkhatib,"Bonne expérience, je recommande."
Abdelaziz Boukhriss,Attente trop longue au téléphone.
Ikram Bensaid,Carte bloquée sans explication.
Amina Zerouali,Service client difficile à joindre.
Othmane Sekkat,Service client difficile à joindre.
Adil Maaroufi,Attente trop longue au téléphone.
