id_service,nom_service,description,type,canal_disponible,cout_estime,delai_traitement,periodicite,type_service
1,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,telephone,118.15,immédiat,ponctuel,Transaction
2,Virement local,Transfert d'argent vers un compte local.,informatif,en agence,110.93,immédiat, la demande,Support
3,Assistance client,Support et aide apportee au client.,informatif,en agence,88.15,immédiat, la demande,Operation
4,Demande de cheque,Service pour obtenir un nouveau chequier.,support,en agence,122.19,immédiat,annuel,Information
5,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,149.2,72 heures,annuel,Transaction
6,Souscription produit,Demande de souscription a un produit bancaire.,support,en agence,51.71,5 jours,annuel,Information
7,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,telephone,117.73,immédiat,trimestriel,Information
8,Virement local,Transfert d'argent vers un compte local.,informatif,en ligne,104.65,5 jours,mensuel,Operation
9,Assistance client,Support et aide apportee au client.,transactionnel,mobile,64.02,5 jours,annuel,Support
10,Assistance client,Support et aide apportee au client.,informatif,en agence,144.62,72 heures,mensuel,Information
11,Demande de cheque,Service pour obtenir un nouveau chequier.,support,mobile,58.55,5 jours,ponctuel,Information
12,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,en ligne,5.54,immédiat,mensuel,Support
13,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,en ligne,128.32,5 jours,annuel,Transaction
14,Depot d'argent,Depot d'especes sur un compte bancaire.,support,en ligne,52.76,immédiat,annuel,Information
15,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,70.05,48h, la demande,Transaction
16,Paiement de facture,Reglement de factures via compte bancaire.,support,telephone,28.37,5 jours,ponctuel,Transaction
17,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,73.51,72 heures,trimestriel,Transaction
18,Souscription produit,Demande de souscription a un produit bancaire.,informatif,mobile,74.87,5 jours,mensuel,Support
19,Retrait au guichet,Retrait d'argent liquide en agence.,support,mobile,98.19,48h,mensuel,Support
20,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,mobile,57.99,5 jours, la demande,Information
21,Virement local,Transfert d'argent vers un compte local.,transactionnel,en ligne,52.6,immédiat,ponctuel,Information
22,Assistance client,Support et aide apportee au client.,transactionnel,en agence,104.55,48h,annuel,Operation
23,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en ligne,57.23,72 heures,ponctuel,Transaction
24,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,144.32,5 jours,mensuel,Support
25,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,en ligne,101.74,24h,ponctuel,Information
26,Assistance client,Support et aide apportee au client.,support,telephone,83.52,immédiat,trimestriel,Transaction
27,Assistance client,Support et aide apportee au client.,support,en ligne,77.34,72 heures,trimestriel,Support
28,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,mobile,126.47,24h,annuel,Operation
29,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en ligne,89.73,48h, la demande,Transaction
30,Releve bancaire,Fournit l'historique des operations du compte.,informatif,telephone,75.63,immédiat,mensuel,Information
31,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,telephone,88.63,5 jours,mensuel,Operation
32,Souscription produit,Demande de souscription a un produit bancaire.,support,mobile,18.33,24h, la demande,Information
33,Virement local,Transfert d'argent vers un compte local.,transactionnel,en ligne,86.85,immédiat,annuel,Support
34,Virement local,Transfert d'argent vers un compte local.,support,telephone,50.35,immédiat,mensuel,Support
35,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,102.85,72 heures,trimestriel,Transaction
36,Retrait au guichet,Retrait d'argent liquide en agence.,informatif,mobile,144.82,72 heures,annuel,Operation
37,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,telephone,45.1,immédiat,mensuel,Operation
38,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,mobile,96.11,24h,trimestriel,Support
39,Paiement de facture,Reglement de factures via compte bancaire.,support,en agence,10.31,48h,annuel,Transaction
40,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en ligne,134.99,72 heures,mensuel,Transaction
41,Demande de cheque,Service pour obtenir un nouveau chequier.,support,mobile,77.34,24h,annuel,Operation
42,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,67.61,48h,annuel,Operation
43,Souscription produit,Demande de souscription a un produit bancaire.,support,mobile,29.56,5 jours,ponctuel,Transaction
44,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,133.49,72 heures,ponctuel,Operation
45,Depot d'argent,Depot d'especes sur un compte bancaire.,support,mobile,48.68,72 heures, la demande,Information
46,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,mobile,39.9,immédiat,ponctuel,Operation
47,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,mobile,21.89,72 heures, la demande,Information
48,Releve bancaire,Fournit l'historique des operations du compte.,informatif,en ligne,52.32,5 jours,mensuel,Support
49,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,en agence,127.62,immédiat, la demande,Operation
50,Demande de cheque,Service pour obtenir un nouveau chequier.,support,telephone,91.69,5 jours,ponctuel,Information
51,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en ligne,55.46,48h,mensuel,Support
52,Retrait au guichet,Retrait d'argent liquide en agence.,informatif,en agence,15.11,48h,annuel,Operation
53,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,68.71,72 heures,ponctuel,Information
